covariate,rho_pooled,perm_p,dataset,q_within_dataset,sig_raw,sig_fdr_within,q_global,sig_fdr_global
temporal_fanout,-0.326,0.005999,WIKIDATA12k,0.014247625,True,True,0.0139024444444444,True
static_fanout,-0.431,0.0002,WIKIDATA12k,0.00076,True,True,0.0006790697674418,True
tail_fanin,-0.452,9.999e-05,WIKIDATA12k,0.0004749525,True,True,0.0003649635,True
tail_entropy,-0.333,0.0047,WIKIDATA12k,0.0127571428571428,True,True,0.0112491803278688,True
head_tail_ratio,-0.182,0.1332,WIKIDATA12k,0.16872,False,False,0.194472,False
one_to_one_frac,0.265,0.0271,WIKIDATA12k,0.0572111111111111,True,False,0.0500835443037974,False
powerlaw_gamma,0.429,0.0005,WIKIDATA12k,0.0015833333333333,True,True,0.0016222222222222,True
forman_ricci,0.601,9.999e-05,WIKIDATA12k,0.0004749525,True,True,0.0003649635,True
grc,0.236,0.05279,WIKIDATA12k,0.0771546153846153,False,False,0.0865993258426966,False
clustering,-0.128,0.2969,WIKIDATA12k,0.3318294117647059,False,False,0.3736844827586207,False
beta1,-0.695,9.999e-05,WIKIDATA12k,0.0004749525,True,True,0.0003649635,True
delta_hyp,-0.26,0.032,WIKIDATA12k,0.0608,True,False,0.057679012345679,False
ollivier_rc,-0.053,0.6678,WIKIDATA12k,0.6678,False,False,0.7169029411764705,False
ollivier_rc_exact,0.252,0.037,WIKIDATA12k,0.0639090909090909,True,False,0.06424,False
longest_path,-0.076,0.5241,WIKIDATA12k,0.5532166666666667,False,False,0.6101873015873015,False
reciprocity,0.226,0.06179,WIKIDATA12k,0.0838578571428571,False,False,0.0973176344086021,False
growth_rate,-0.539,9.999e-05,WIKIDATA12k,0.0004749525,True,True,0.0003649635,True
saturation_r,-0.243,0.0438,WIKIDATA12k,0.06935,True,False,0.073503448275862,False
branch_persist,-0.174,0.1556,WIKIDATA12k,0.184775,False,False,0.2249267326732673,False
temporal_fanout,0.022,0.5571,FB15k-237,0.6061000000000001,False,False,0.6256661538461539,False
static_fanout,0.022,0.5571,FB15k-237,0.6061000000000001,False,False,0.6256661538461539,False
tail_fanin,-0.5,9.999e-05,FB15k-237,0.00023747625,True,True,0.0003649635,True
tail_entropy,0.486,9.999e-05,FB15k-237,0.00023747625,True,True,0.0003649635,True
head_tail_ratio,-0.374,9.999e-05,FB15k-237,0.00023747625,True,True,0.0003649635,True
one_to_one_frac,0.021,0.5742,FB15k-237,0.6061000000000001,False,False,0.6399480916030534,False
powerlaw_gamma,0.083,0.0254,FB15k-237,0.0361,True,True,0.0487947368421052,True
forman_ricci,0.454,9.999e-05,FB15k-237,0.00023747625,True,True,0.0003649635,True
grc,0.089,0.0178,FB15k-237,0.0281833333333333,True,True,0.0366028169014084,True
clustering,0.131,0.0007999,FB15k-237,0.00151981,True,True,0.002335708,True
beta1,-0.084,0.0266,FB15k-237,0.0361,True,True,0.0497897435897435,True
delta_hyp,-0.129,0.0008999,FB15k-237,0.0015543727272727,True,True,0.0024789698113207,True
ollivier_rc,-0.009,0.8089,FB15k-237,0.8089,False,False,0.8375843971631205,False
ollivier_rc_exact,0.05,0.1866,FB15k-237,0.23636,False,False,0.2410938053097344,False
longest_path,0.13,0.0005,FB15k-237,0.0010555555555555,True,True,0.0016222222222222,True
reciprocity,0.27,9.999e-05,FB15k-237,0.00023747625,True,True,0.0003649635,True
growth_rate,-0.402,9.999e-05,FB15k-237,0.00023747625,True,True,0.0003649635,True
saturation_r,0.203,9.999e-05,FB15k-237,0.00023747625,True,True,0.0003649635,True
branch_persist,0.312,9.999e-05,FB15k-237,0.00023747625,True,True,0.0003649635,True
temporal_fanout,-0.146,0.0035,ICEWS14,0.0051153846153846,True,True,0.0086610169491525,True
static_fanout,-0.152,0.0018,ICEWS14,0.0031090909090909,True,True,0.0047781818181818,True
tail_fanin,-0.185,9.999e-05,ICEWS14,0.00023747625,True,True,0.0003649635,True
tail_entropy,0.344,9.999e-05,ICEWS14,0.00023747625,True,True,0.0003649635,True
head_tail_ratio,0.016,0.7405,ICEWS14,0.7405,False,False,0.7777913669064749,False
one_to_one_frac,0.162,0.0008999,ICEWS14,0.00170981,True,True,0.0024789698113207,True
powerlaw_gamma,0.153,0.002,ICEWS14,0.0031666666666666,True,True,0.0052142857142857,True
forman_ricci,0.171,0.0005999,ICEWS14,0.0012664555555555,True,True,0.0018635191489361,True
grc,-0.196,9.999e-05,ICEWS14,0.00023747625,True,True,0.0003649635,True
clustering,-0.109,0.0261,ICEWS14,0.0354214285714285,True,True,0.0494883116883116,True
beta1,-0.067,0.1658,ICEWS14,0.1968875,False,False,0.2286440366972477,False
delta_hyp,-0.096,0.0498,ICEWS14,0.06308,True,False,0.0826227272727272,False
ollivier_rc,-0.064,0.1826,ICEWS14,0.2040823529411765,False,False,0.2380321428571428,False
ollivier_rc_exact,-0.05,0.4019,ICEWS14,0.4242277777777777,False,False,0.4889783333333333,False
longest_path,0.264,9.999e-05,ICEWS14,0.00023747625,True,True,0.0003649635,True
reciprocity,0.294,9.999e-05,ICEWS14,0.00023747625,True,True,0.0003649635,True
growth_rate,-0.218,9.999e-05,ICEWS14,0.00023747625,True,True,0.0003649635,True
saturation_r,0.288,9.999e-05,ICEWS14,0.00023747625,True,True,0.0003649635,True
branch_persist,0.327,9.999e-05,ICEWS14,0.00023747625,True,True,0.0003649635,True
temporal_fanout,0.031,0.4628,GDELT,0.5950285714285714,False,False,0.5538426229508197,False
static_fanout,0.126,0.0041,GDELT,0.0123,True,True,0.0099766666666666,True
tail_fanin,0.022,0.6141,GDELT,0.6502235294117646,False,False,0.6690940298507462,False
tail_entropy,0.194,9.999e-05,GDELT,0.00179982,True,True,0.0003649635,True
head_tail_ratio,0.012,0.7909,GDELT,0.7909,False,False,0.8247957142857143,False
one_to_one_frac,-0.027,0.5227,GDELT,0.6261749999999999,False,False,0.6101873015873015,False
powerlaw_gamma,-0.129,0.0033,GDELT,0.01188,True,True,0.0083068965517241,True
forman_ricci,-0.135,0.0025,GDELT,0.01125,True,True,0.0064035087719298,True
grc,-0.087,0.0386,GDELT,0.08685,True,False,0.0655302325581395,False
clustering,0.077,0.07009,GDELT,0.1251654545454545,False,False,0.1065952083333333,False
beta1,0.153,0.0008999,GDELT,0.0071999999999999,True,True,0.0024789698113207,True
delta_hyp,0.074,0.07649,GDELT,0.1251654545454545,False,False,0.1151292783505154,False
ollivier_rc,-0.025,0.5566,GDELT,0.6261749999999999,False,False,0.6256661538461539,False
longest_path,-0.041,0.3324,GDELT,0.4602461538461538,False,False,0.4078184873949579,False
reciprocity,0.06,0.1607,GDELT,0.24105,False,False,0.2277883495145631,False
growth_rate,0.14,0.0012,GDELT,0.0071999999999999,True,True,0.0032444444444444,True
saturation_r,-0.092,0.0331,GDELT,0.0851142857142857,True,False,0.0589341463414634,False
branch_persist,0.078,0.06199,GDELT,0.12398,False,False,0.0973176344086021,False
