dataset,n_rel,n_seed_rows,partial_rho,partial_perm_p
Dissociation,13,65,0.905926627209845,9.999000099990002e-05
Trees,13,39,0.369895587129352,0.23397660233976603
YAGO11k,10,30,0.44856270373932944,0.17968203179682032
WN18RR,11,33,0.8032626844437499,0.004399560043995601
WIKIDATA12k,24,72,0.3759061547358993,0.054394560543945605
FB15k-237,234,702,0.4772585695141146,9.999000099990002e-05
ICEWS14,142,426,0.2276562281147544,0.0030996900309969004
GDELT,187,561,0.04851659843640642,0.23937606239376064
