dataset,n_rel,n_rows,partial_rho,residual_rho,partial_perm_p
Dissociation,13,65,0.905926627209845,0.9059266272098453,9.999000099990002e-05
Trees,13,39,0.369895587129352,0.369895587129352,0.20577942205779423
YAGO11k,10,30,0.44856270373932944,0.44856270373932955,0.1464853514648535
WN18RR,11,33,0.8032626844437499,0.8032626844437494,0.0025997400259974
WIKIDATA12k,24,72,0.3759061547358993,0.37590615473589933,0.0496950304969503
FB15k-237,234,702,0.4772585695141146,0.4772585695141147,9.999000099990002e-05
ICEWS14,142,426,0.2276562281147544,0.2276562281147545,0.0032996700329967
GDELT,187,561,0.04851659843640642,0.048516598436406405,0.25517448255174485
