relation_id,curvature,curvature_inverse,n_train_triples
0,1.087289,1.387673,900
1,1.027563,1.301252,855
2,1.052082,1.266072,595
3,1.099118,1.366198,103
4,1.026974,1.198848,1122
5,0.933877,1.167615,179
6,0.878333,0.858691,692
7,1.302730,1.288781,173
8,1.393059,1.394722,350
9,1.173429,1.181619,407
10,1.134641,1.175957,951
11,1.238574,1.207779,432
12,1.162955,1.185989,1297
