relation_id,curvature,curvature_inverse,n_train_triples
0,0.238326,0.182873,61107
1,0.251918,0.251109,33766
2,0.223781,0.196470,19947
3,0.254398,0.236427,16426
4,0.204294,0.206798,14160
5,0.238019,0.233403,14099
6,0.235730,0.238426,14093
7,0.231201,0.202349,12503
8,0.127739,0.157769,10811
9,0.256387,0.224520,10087
10,0.225773,0.154107,8852
11,0.211475,0.095039,8065
12,0.301538,0.299877,6083
13,0.289899,0.294544,4533
14,0.173450,0.181972,4871
15,0.250863,0.217764,4906
16,0.238030,0.230875,4590
17,0.270240,0.276818,4068
18,0.097149,0.075710,4699
19,0.234977,0.220686,3582
20,0.186550,0.111469,3325
21,0.230076,0.194089,3245
22,0.230316,0.221723,2643
23,0.261480,0.267882,2441
24,0.201021,0.198792,2475
25,0.212561,0.194822,2174
26,0.114366,0.116401,1933
27,0.159633,0.230619,1526
28,0.145765,0.220251,1728
29,0.307461,0.309489,1318
30,0.230440,0.144446,1477
31,0.210744,0.194126,1348
32,0.089904,0.138747,1161
33,0.136042,0.039966,1423
34,0.087887,0.175511,1036
35,0.211794,0.205121,1145
36,0.188050,0.124844,438
37,0.197075,0.143824,803
38,0.161692,0.135898,787
39,0.235316,0.213972,851
40,0.190316,0.173549,801
41,0.156901,0.226466,835
42,0.129858,0.197827,733
43,0.058862,0.076916,824
44,0.159786,0.224974,701
45,0.254815,0.127381,676
46,0.147092,0.196075,644
47,0.056790,0.145132,737
48,0.091666,0.185725,624
49,0.270386,0.205417,585
50,0.268354,0.193924,477
51,0.196473,0.184499,484
52,0.291188,0.247076,668
53,0.131635,0.253233,513
54,0.163103,0.157938,482
55,0.128640,0.185189,492
56,0.284116,0.208774,502
57,0.185564,0.224866,470
58,0.196539,0.085473,477
59,0.219938,0.278647,464
60,0.214568,0.259909,446
61,0.132538,0.042028,455
62,0.085916,0.025293,517
63,0.114827,0.236753,406
64,0.083382,0.103035,331
65,0.212057,0.287892,408
66,0.108662,0.181076,390
67,0.254483,0.280929,399
68,0.234631,0.211731,242
69,0.154277,0.212695,326
70,0.176239,0.119838,324
71,0.254635,0.268615,298
72,0.148483,0.274760,249
73,0.232141,0.116210,224
74,0.172608,0.256644,371
75,0.125880,0.187301,315
76,0.224531,0.237479,280
77,0.200709,0.246624,324
78,0.224400,0.215963,326
79,0.236941,0.236122,293
80,0.098361,0.219374,251
81,0.237097,0.272277,287
82,0.189561,0.224927,279
83,0.246038,0.242924,283
84,0.255658,0.184362,243
85,0.179467,0.098972,253
86,0.273931,0.236283,218
87,0.253644,0.249781,275
88,0.162375,0.224260,209
89,0.290151,0.290956,219
90,0.093556,0.130857,197
91,0.282007,0.297279,137
92,0.265655,0.254835,193
93,0.170675,0.247451,220
94,0.145478,0.156791,208
95,0.118179,0.140576,177
96,0.259107,0.084620,175
97,0.113615,0.330092,158
98,0.194842,0.106992,181
99,0.342490,0.387160,183
100,0.183612,0.137797,147
101,0.117552,0.129759,156
102,0.145815,0.227607,181
103,0.110184,0.264177,153
104,0.269975,0.313566,139
105,0.261076,0.221713,151
106,0.214590,0.093791,133
107,0.184601,0.201036,157
108,0.238385,0.347027,119
109,0.276967,0.234667,146
110,0.274534,0.303703,114
111,0.254459,0.199292,130
112,0.302640,0.183489,126
113,0.216092,0.314711,105
114,0.234746,0.251263,128
115,0.181236,0.183900,107
116,0.448038,0.268327,66
117,0.208416,0.184624,105
118,0.258473,0.264756,107
119,0.174704,0.231919,100
120,0.203190,0.211127,90
121,0.269710,0.288809,95
122,0.167302,0.244971,43
123,0.212410,0.271739,51
124,0.119675,0.198271,72
125,0.290517,0.247627,95
126,0.200893,0.362033,76
127,0.122769,0.205340,80
128,0.231036,0.219325,57
129,0.178374,0.260555,78
130,0.245832,0.183585,65
131,0.364109,0.291644,77
132,0.218466,0.293903,72
133,0.201071,0.244052,65
134,0.271557,0.279591,63
135,0.152232,0.283166,83
136,0.240603,0.194244,46
137,0.203682,0.239160,59
138,0.288297,0.248915,40
139,0.230182,0.184912,44
140,0.207289,0.254143,46
141,0.199728,0.204640,62
142,0.101346,0.173130,41
143,0.225553,0.388019,53
144,0.199106,0.390727,57
145,0.182235,0.233585,49
146,0.285528,0.237079,45
147,0.274492,0.210465,50
148,0.285633,0.372469,61
149,0.165180,0.266840,64
150,0.120030,0.201415,41
151,0.271016,0.218553,35
152,0.207260,0.246371,35
153,0.382563,0.285678,42
154,0.223763,0.224779,36
155,0.200342,0.246786,36
156,0.240387,0.223544,49
157,0.199156,0.184389,32
158,0.322385,0.270829,28
159,0.212017,0.167272,39
160,0.458398,0.240659,40
161,0.124619,0.187268,41
162,0.271824,0.097162,32
163,0.208912,0.243342,37
164,0.249166,0.301871,29
165,0.102645,0.321803,43
166,0.283537,0.283660,35
167,0.206095,0.271398,26
168,0.235326,0.243476,26
169,0.214471,0.241771,38
170,0.140479,0.337705,34
171,0.260798,0.187634,32
172,0.304806,0.233661,21
173,0.259134,0.217251,19
174,0.219054,0.279934,19
175,0.470554,0.523784,11
176,0.318926,0.195183,21
177,0.303075,0.250543,23
178,0.300422,0.187564,21
179,0.186425,0.260854,19
180,0.383692,0.280667,37
181,0.302503,0.245883,9
182,0.174979,0.194366,16
183,0.206104,0.374801,27
184,0.217388,0.328598,17
185,0.337662,0.285701,20
186,0.193502,0.186303,14
187,0.299764,0.217026,13
188,0.415766,0.314629,11
189,0.366054,0.264911,15
190,0.131470,0.115164,12
191,0.216022,0.207535,17
192,0.215502,0.300704,20
193,0.129434,0.264204,18
194,0.303429,0.207225,13
195,0.286036,0.459021,6
196,0.248097,0.141397,14
197,0.229351,0.356586,11
198,0.364849,0.197140,6
199,0.191335,0.265609,14
200,0.233720,0.201068,8
201,0.365620,0.282777,10
202,0.260044,0.361145,9
203,0.148973,0.235166,6
204,0.255438,0.355332,8
205,0.430481,0.123212,7
206,0.264653,0.288702,8
207,0.382033,0.202791,6
208,0.291326,0.233534,7
209,0.471986,0.323247,7
210,0.327480,0.389236,12
211,0.433210,0.427554,4
212,0.412915,0.187171,7
213,0.369964,0.252848,11
214,0.210019,0.244072,7
215,0.438188,0.539973,3
216,0.227025,0.318215,8
217,0.208257,0.313294,8
218,0.212160,0.409066,8
219,0.213654,0.222671,8
220,0.399150,0.369857,7
221,0.204657,0.297665,2
222,0.530738,0.482418,1
223,0.556913,0.217530,2
224,0.205714,0.372423,3
225,0.271160,0.523175,6
226,1.000000,1.000000,0
227,0.573680,0.555518,1
228,0.276373,0.241257,4
229,1.000000,1.000000,0
230,0.423280,0.508279,1
231,0.288576,0.307435,2
232,0.289821,0.258553,2
233,0.398241,0.578512,1
234,0.479175,0.456566,2
235,0.401206,0.330242,2
236,0.421133,0.440449,3
237,0.562395,0.765838,2
238,0.442642,0.499863,3
239,1.000000,1.000000,0
240,0.623638,0.581088,3
241,0.424799,0.611492,2
242,1.000000,1.000000,0
243,1.000000,1.000000,0
244,1.000000,1.000000,0
245,1.000000,1.000000,0
246,0.578490,0.684121,2
247,1.000000,1.000000,0
248,0.277389,0.303831,2
249,0.582399,0.410065,1
250,1.000000,1.000000,0
251,0.537315,0.464825,1
252,1.000000,1.000000,0
253,0.381571,0.536489,1
254,0.578337,0.392425,1
255,1.000000,1.000000,0
256,0.465523,0.410749,1
257,0.606460,0.636303,1
258,0.552126,0.607186,1
259,1.000000,1.000000,0
