relation_id,curvature,curvature_inverse,n_train_triples
0,0.629553,0.545385,2530
1,0.648336,0.830118,371
2,0.650515,0.624315,3532
3,0.447749,0.461893,2545
4,0.952876,0.932283,1904
5,0.588616,0.655030,745
6,0.632026,0.565377,487
7,0.696791,0.531221,1270
8,0.503127,0.461099,1092
9,0.462437,0.741732,1932
