relation_id,curvature,curvature_inverse,n_train_triples
0,0.468871,0.481295,102983
1,0.475357,0.470944,27727
2,0.344610,0.420356,134342
3,0.411721,0.341941,127783
4,0.422298,0.488857,15140
5,0.520674,0.492873,12810
6,0.401854,0.389839,63279
7,0.441248,0.459941,96204
8,0.466981,0.340265,246
9,0.348687,0.409033,26780
10,0.412481,0.496904,9478
11,0.474664,0.484590,28008
12,0.498627,0.518005,14798
13,0.402695,0.546071,5147
14,0.497185,0.504436,548
15,0.509456,0.458389,39769
16,0.457613,0.439152,142637
17,0.523241,0.489600,26745
18,0.388015,0.421895,44095
19,0.410296,0.411196,106706
20,0.511991,0.528772,19906
21,0.406947,0.389797,2424
22,0.429258,0.378958,23239
23,0.427946,0.418379,71876
24,0.483972,0.463974,36607
25,0.373854,0.402629,3940
26,0.363131,0.387337,2229
27,0.443605,0.447466,24462
28,0.447648,0.448963,13236
29,0.407061,0.415054,6526
30,0.401582,0.406788,58316
31,0.528096,0.474434,19375
32,0.414381,0.407031,6080
33,0.395574,0.351766,5377
34,0.369546,0.386553,72290
35,0.449046,0.357304,3789
36,0.474694,0.450171,28828
37,0.501165,0.422870,31819
38,0.499175,0.503488,17610
39,0.419267,0.365611,621
40,0.367532,0.395143,1509
41,0.447654,0.373856,5056
42,0.355369,0.411795,883
43,0.356317,0.386452,10843
44,0.425330,0.468409,7026
45,0.451105,0.476104,6678
46,0.500533,0.491172,8840
47,0.456624,0.421289,2645
48,0.448291,0.401500,3801
49,0.377157,0.409266,583
50,0.273506,0.366082,577
51,0.359882,0.388702,1867
52,0.378900,0.381715,7915
53,0.400216,0.431880,2061
54,0.348606,0.452697,3155
55,0.381122,0.352210,2459
56,0.325403,0.445729,816
57,0.347947,0.378081,527
58,0.434391,0.327571,16951
59,0.461883,0.450885,16274
60,0.362853,0.308355,1618
61,0.286939,0.404374,518
62,0.441175,0.519849,2752
63,0.358306,0.357945,20709
64,0.328588,0.512781,533
65,0.471157,0.455970,10643
66,0.375069,0.448180,2474
67,0.417142,0.508347,9839
68,0.488669,0.538293,3046
69,0.497246,0.656731,465
70,0.418631,0.378481,1173
71,0.365655,0.492721,3448
72,0.477037,0.387212,5059
73,0.442696,0.396573,1820
74,0.345984,0.355302,1611
75,0.420297,0.404686,4502
76,0.412157,0.501389,2529
77,0.396845,0.335354,553
78,0.376204,0.395424,2574
79,0.506317,0.456464,1745
80,0.467975,0.431634,2372
81,0.475589,0.369812,2851
82,0.530649,0.472407,1196
83,0.395589,0.442939,2237
84,0.466140,0.410810,351
85,0.464525,0.519386,358
86,0.576088,0.399079,122
87,0.376119,0.463694,769
88,0.444555,0.441044,2435
89,0.327304,0.395935,2886
90,0.408545,0.426539,936
91,0.491778,0.484936,1713
92,0.398881,0.369831,591
93,0.468924,0.592345,765
94,0.465327,0.454022,2063
95,0.316829,0.372077,2472
96,0.548058,0.492006,1475
97,0.339834,0.407469,1652
98,0.489579,0.495219,561
99,0.461004,0.395584,2894
100,0.324355,0.325455,789
101,0.345499,0.364392,958
102,0.363219,0.443615,1552
103,0.446614,0.506034,1809
104,0.408405,0.432821,667
105,0.400670,0.491940,336
106,0.356033,0.450445,561
107,0.257482,0.137399,466
108,0.517005,0.419746,2847
109,0.437065,0.379515,771
110,0.393182,0.327377,1154
111,0.450839,0.466106,1374
112,0.457030,0.393533,2728
113,0.373256,0.487216,1069
114,0.431834,0.574506,267
115,0.502340,0.573667,1650
116,0.424390,0.504881,2716
117,0.529968,0.411521,96
118,0.389995,0.324585,712
119,0.422244,0.370293,1196
120,0.437706,0.375557,395
121,0.367358,0.398367,548
122,0.303092,0.385078,1876
123,0.443857,0.411371,970
124,0.422368,0.605484,288
125,0.365092,0.424121,543
126,0.473457,0.398316,111
127,0.304029,0.402454,368
128,0.521432,0.437133,462
129,0.424191,0.436275,1216
130,0.431397,0.365245,270
131,0.336041,0.281058,189
132,0.452567,0.457513,263
133,0.469479,0.417578,79
134,0.267302,0.353534,151
135,0.283580,0.338083,612
136,0.311496,0.296548,258
137,0.351556,0.369493,633
138,0.393342,0.400522,2094
139,0.353906,0.407589,238
140,0.226486,0.451325,1266
141,0.518428,0.415313,457
142,0.564169,0.552015,191
143,0.427841,0.447113,330
144,0.288184,0.431236,137
145,0.408270,0.537491,691
146,0.343911,0.319661,177
147,0.375832,0.353510,154
148,0.329680,0.206673,397
149,0.223789,0.302496,236
150,0.386624,0.388770,616
151,0.883362,0.822404,2
152,0.362075,0.319637,580
153,0.500358,0.379676,183
154,0.391376,0.512833,557
155,0.380845,0.511678,682
156,0.315712,0.395331,339
157,0.477823,0.389264,2056
158,0.433698,0.422599,147
159,0.496991,0.416502,744
160,0.284600,0.237039,75
161,0.377065,0.414407,33
162,0.481826,0.410043,404
163,0.478299,0.426612,451
164,0.417559,0.421693,321
165,0.332954,0.377633,114
166,0.413416,0.285338,492
167,0.413714,0.284269,47
168,0.428001,0.347494,27
169,0.448964,0.533682,275
170,0.458557,0.336121,203
171,0.444805,0.409135,212
172,0.426930,0.340284,272
173,0.316585,0.296508,93
174,0.351275,0.256349,77
175,0.286600,0.538753,33
176,0.430478,0.484881,281
177,0.406807,0.429091,86
178,0.470960,0.372270,100
179,0.430645,0.388941,57
180,0.474759,0.566894,250
181,0.295783,0.551963,38
182,0.278169,0.404133,41
183,0.585932,0.339506,192
184,0.455310,0.573049,37
185,0.646236,0.627503,3
186,0.489561,0.532928,164
187,0.311770,0.344948,672
188,0.486426,0.225687,41
189,0.312322,0.356293,37
190,0.360708,0.380746,61
191,0.304242,0.325729,239
192,0.324757,0.536399,65
193,0.466392,0.473808,40
194,0.567664,0.468638,10
195,0.634832,0.559340,6
196,0.250119,0.184893,49
197,0.355009,0.467043,123
198,0.712570,0.492026,3
