relation_id,curvature,curvature_inverse,n_train_triples
0,0.196348,0.221706,298
1,0.264319,0.227055,1272
2,0.216289,0.164996,2671
3,0.462261,0.463354,8423
4,0.073132,0.032844,2262
5,0.067793,0.012735,2265
6,0.348354,0.315341,9494
7,0.301925,0.147369,9465
8,0.423966,0.421535,15989
9,0.144651,0.142051,2655
10,0.088886,0.094074,2834
11,0.164818,0.130214,1429
12,0.493096,0.457324,2992
13,0.027996,0.045751,12893
14,0.080439,0.130564,2570
15,0.256229,0.218277,5201
16,0.222323,0.167302,182
17,0.084145,0.187513,10945
18,0.057231,0.111607,596
19,0.157444,0.364559,12157
20,0.200556,0.166941,5880
21,0.299146,0.379055,1908
22,0.292371,0.229524,2640
23,0.162203,0.330854,797
24,0.229143,0.312088,2465
25,0.025949,0.000252,3612
26,0.068283,0.114620,5305
27,0.467573,0.182244,2727
28,0.052180,0.090865,2407
29,0.170985,0.147279,2130
30,0.289250,0.358012,3310
31,0.098435,0.175680,7268
32,0.309503,0.188230,2337
33,0.094317,0.106844,373
34,0.153841,0.172397,1210
35,0.170079,0.169696,1070
36,0.177080,0.202381,622
37,0.200764,0.114781,760
38,0.422758,0.472911,6277
39,0.248181,0.269003,695
40,0.238896,0.152399,676
41,0.275739,0.328339,1772
42,0.218195,0.144373,1938
43,0.118055,0.018922,3717
44,0.221495,0.112993,734
45,0.448672,0.448259,1511
46,0.120075,0.149142,330
47,0.417614,0.264822,5673
48,0.140105,0.222581,4197
49,0.142932,0.159656,183
50,0.198719,0.157670,737
51,0.157015,0.140112,254
52,0.161101,0.131922,678
53,0.431284,0.428147,153
54,0.242480,0.334734,142
55,0.244952,0.163311,93
56,1.299715,1.285203,459
57,0.206391,0.200805,497
58,0.308411,0.308541,2051
59,0.238415,0.213394,603
60,0.119518,0.273788,475
61,0.126036,0.183025,856
62,0.294720,0.304302,579
63,0.179840,0.136847,756
64,0.222048,0.221261,814
65,0.185576,0.162965,664
66,0.201187,0.303166,3738
67,0.098518,0.093182,204
68,0.311766,0.266101,688
69,0.186267,0.236975,1153
70,0.202530,0.155610,335
71,0.289923,0.150513,2063
72,0.181109,0.260428,760
73,0.142405,0.163380,256
74,0.257245,0.315470,384
75,0.136373,0.133397,3795
76,0.252188,0.212937,2226
77,0.376778,0.373642,1404
78,0.213090,0.263674,125
79,0.299444,0.199361,269
80,0.117843,0.162747,423
81,1.941487,1.446348,526
82,0.148266,0.299357,1085
83,0.253079,0.294635,852
84,0.404666,0.356474,1285
85,0.120769,0.068263,2909
86,0.275982,0.324980,1568
87,0.184897,0.175385,463
88,0.199675,0.125437,276
89,0.171963,0.147810,2257
90,0.129055,0.213590,285
91,0.104896,0.193065,121
92,0.110400,0.125533,1327
93,0.221971,0.205738,215
94,0.241063,0.262626,331
95,0.118719,0.172399,689
96,0.143747,0.192809,437
97,0.511860,0.515002,717
98,0.116583,0.173443,233
99,0.145040,0.115477,100
100,0.126018,0.220726,783
101,0.189266,0.212726,2622
102,0.369932,0.345021,859
103,0.377832,0.239109,909
104,0.282833,0.230612,381
105,0.209882,0.306773,192
106,0.140553,0.153059,977
107,0.116969,0.156483,1006
108,0.200726,0.184948,456
109,0.381788,0.358834,787
110,0.113474,0.267791,225
111,0.268393,0.218970,305
112,0.073904,0.077610,494
113,0.128754,0.241980,142
114,0.126848,0.129234,100
115,0.154642,0.281229,345
116,0.291878,0.339315,1039
117,0.116494,0.130519,607
118,0.048771,0.006398,411
119,0.388089,0.426866,250
120,0.094699,0.016976,788
121,0.294157,0.214643,246
122,0.092307,0.031201,349
123,0.429524,0.404045,449
124,0.141568,0.167379,728
125,0.176801,0.133146,128
126,0.383831,0.132266,154
127,0.225362,0.231177,300
128,0.136537,0.182467,360
129,0.196815,0.237617,215
130,0.134592,0.111072,3500
131,0.235751,0.157847,424
132,0.211976,0.150089,161
133,0.231711,0.262140,610
134,0.197884,0.243598,750
135,0.306439,0.268533,386
136,0.369851,0.358986,662
137,0.059596,0.075140,966
138,0.188454,0.269053,218
139,0.181893,0.237001,190
140,0.213124,0.124542,259
141,0.460539,0.513723,475
142,0.122917,0.128803,178
143,0.176214,0.281428,721
144,0.232246,0.231666,137
145,0.350083,0.436068,416
146,1.696566,1.597149,533
147,0.172849,0.318459,157
148,0.076838,0.168608,535
149,0.291938,0.164629,121
150,0.196660,0.199239,345
151,0.180995,0.125974,122
152,0.095152,0.088989,747
153,0.371217,0.191045,217
154,0.110211,0.111107,1151
155,0.383906,0.326638,394
156,0.102835,0.328988,192
157,0.225181,0.168709,490
158,0.219385,0.252510,305
159,0.226812,0.248904,316
160,0.258035,0.299977,552
161,0.065656,0.151605,417
162,0.525022,0.449445,271
163,0.258203,0.225618,363
164,0.525971,0.510497,236
165,0.255575,0.187728,107
166,0.184337,0.186494,476
167,0.196326,0.180542,125
168,0.223262,0.172476,179
169,0.108881,0.114477,573
170,0.235870,0.192580,536
171,0.109127,0.177519,101
172,0.090314,0.435798,335
173,0.459555,0.221512,113
174,0.211001,0.200837,581
175,0.349215,0.343313,131
176,0.088308,0.094098,352
177,0.262096,0.410511,218
178,0.168789,0.211442,125
179,0.157251,0.165917,114
180,0.291802,0.261036,102
181,0.127974,0.042680,102
182,0.172951,0.152640,148
183,0.187577,0.354308,336
184,0.254770,0.372411,158
185,0.149499,0.153248,268
186,0.201108,0.346577,179
187,0.166346,0.200327,103
188,0.132417,0.152274,343
189,0.199636,0.100452,260
190,0.331291,0.264645,181
191,0.188744,0.327630,264
192,0.411787,0.410135,427
193,0.031145,0.065750,187
194,0.283057,0.260175,296
195,0.169963,0.299364,156
196,0.417722,0.424158,166
197,0.174603,0.187925,101
198,0.196899,0.266853,208
199,0.294711,0.293907,104
