relation_id,curvature,curvature_inverse,n_train_triples
0,0.288310,0.447025,298
1,0.416865,0.391518,1272
2,0.391756,0.236278,2671
3,0.727084,0.734781,8423
4,0.136084,0.065513,2262
5,0.121682,0.088935,2265
6,0.383107,0.403289,9494
7,0.449862,0.246207,9465
8,0.673845,0.669190,15989
9,0.284620,0.294208,2655
10,0.151706,0.182899,2834
11,0.295657,0.306175,1429
12,0.631114,0.578273,2992
13,0.135280,0.177617,12893
14,0.165347,0.274883,2570
15,0.346913,0.333659,5201
16,0.368179,0.297284,182
17,0.150338,0.363350,10945
18,0.151281,0.212188,596
19,0.269922,0.557283,12157
20,0.368218,0.277236,5880
21,0.404646,0.547827,1908
22,0.436467,0.319138,2640
23,0.228756,0.504931,797
24,0.339197,0.447978,2465
25,0.096264,0.009371,3612
26,0.158690,0.263282,5305
27,0.593175,0.297718,2727
28,0.158093,0.268551,2407
29,0.268080,0.200741,2130
30,0.435177,0.518875,3310
31,0.200042,0.302965,7268
32,0.449829,0.409994,2337
33,0.198326,0.189936,373
34,0.227911,0.340714,1210
35,0.293250,0.224645,1070
36,0.340642,0.291535,622
37,0.368512,0.178146,760
38,0.546684,0.607402,6277
39,0.267768,0.360596,695
40,0.359251,0.334365,676
41,0.347284,0.411276,1772
42,0.354548,0.262821,1938
43,0.197800,0.175923,3717
44,0.356710,0.171323,734
45,0.630889,0.635520,1511
46,0.246557,0.246857,330
47,0.603789,0.398263,5673
48,0.170604,0.370451,4197
49,0.234899,0.303808,183
50,0.327314,0.255022,737
51,0.266811,0.219257,254
52,0.284696,0.205675,678
53,0.584908,0.620145,153
54,0.405996,0.379225,142
55,0.316731,0.211005,93
56,1.273864,1.685594,459
57,0.399030,0.416512,497
58,0.397103,0.452943,2051
59,0.305664,0.267200,603
60,0.209875,0.619880,475
61,0.212759,0.278913,856
62,0.389376,0.439196,579
63,0.304567,0.319761,756
64,0.378818,0.346970,814
65,0.330633,0.289985,664
66,0.310920,0.434345,3738
67,0.223079,0.209280,204
68,0.432709,0.359280,688
69,0.279297,0.301571,1153
70,0.414169,0.325555,335
71,0.485290,0.222047,2063
72,0.283956,0.353023,760
73,0.245860,0.301683,256
74,0.356911,0.497106,384
75,0.289770,0.280197,3795
76,0.416263,0.337588,2226
77,0.524148,0.543037,1404
78,0.480936,0.387487,125
79,0.399154,0.355602,269
80,0.218288,0.246485,423
81,1.341394,1.403447,526
82,0.240931,0.518131,1085
83,0.356096,0.404574,852
84,0.615332,0.500365,1285
85,0.089585,0.207767,2909
86,0.480558,0.514971,1568
87,0.221041,0.310452,463
88,0.273154,0.215007,276
89,0.349081,0.227318,2257
90,0.277153,0.308929,285
91,0.236138,0.274457,121
92,0.216871,0.256532,1327
93,0.370053,0.427861,215
94,0.377219,0.454665,331
95,0.218730,0.260637,689
96,0.284799,0.283618,437
97,0.749709,0.699611,717
98,0.228675,0.293854,233
99,0.164291,0.194260,100
100,0.197407,0.386068,783
101,0.330528,0.377222,2622
102,0.536658,0.634129,859
103,0.466713,0.332228,909
104,0.440541,0.299405,381
105,0.436783,0.510282,192
106,0.231421,0.258668,977
107,0.191209,0.203310,1006
108,0.343347,0.294020,456
109,0.601408,0.547437,787
110,0.202733,0.501965,225
111,0.396590,0.356784,305
112,0.138950,0.136368,494
113,0.320506,0.315857,142
114,0.170897,0.186513,100
115,0.276545,0.390828,345
116,0.399648,0.413297,1039
117,0.211411,0.130357,607
118,0.134770,0.074406,411
119,0.609720,0.603440,250
120,0.167325,0.057454,788
121,0.338956,0.343467,246
122,0.186970,0.114848,349
123,0.454136,0.463282,449
124,0.258383,0.280957,728
125,0.315536,0.248215,128
126,0.532578,0.274198,154
127,0.421803,0.379615,300
128,0.289139,0.253647,360
129,0.294206,0.259950,215
130,0.249986,0.227586,3500
131,0.341809,0.246509,424
132,0.327889,0.276605,161
133,0.310555,0.394563,610
134,0.319179,0.392645,750
135,0.444293,0.499404,386
136,0.461742,0.386036,662
137,0.147788,0.160397,966
138,0.398408,0.466032,218
139,0.263246,0.301681,190
140,0.357447,0.145844,259
141,0.742362,0.822830,475
142,0.170594,0.217716,178
143,0.272533,0.438972,721
144,0.435424,0.466763,137
145,0.477563,0.526791,416
146,1.535099,1.238236,533
147,0.259298,0.251868,157
148,0.112159,0.360857,535
149,0.444895,0.210183,121
150,0.297686,0.273918,345
151,0.368939,0.237189,122
152,0.285838,0.260492,747
153,0.555832,0.297264,217
154,0.151301,0.234453,1151
155,0.455346,0.483909,394
156,0.210439,0.531878,192
157,0.304679,0.257928,490
158,0.314853,0.313141,305
159,0.406537,0.476845,316
160,0.419965,0.417315,552
161,0.182564,0.155569,417
162,0.416365,0.514465,271
163,0.331157,0.251691,363
164,0.608271,0.587973,236
165,0.398985,0.225011,107
166,0.340350,0.309529,476
167,0.320490,0.266033,125
168,0.340399,0.256465,179
169,0.295181,0.198694,573
170,0.336345,0.393848,536
171,0.312482,0.352260,101
172,0.186682,0.513754,335
173,0.398756,0.337790,113
174,0.394551,0.353910,581
175,0.454767,0.429072,131
176,0.192651,0.178953,352
177,0.335082,0.499911,218
178,0.367238,0.336334,125
179,0.256002,0.289853,114
180,0.368534,0.421170,102
181,0.193353,0.140650,102
182,0.276615,0.338448,148
183,0.438046,0.602680,336
184,0.421356,0.491435,158
185,0.229652,0.209122,268
186,0.357211,0.474978,179
187,0.285740,0.481137,103
188,0.189214,0.195257,343
189,0.377896,0.121892,260
