relation_id,curvature,curvature_inverse,n_train_triples
0,0.272979,0.217484,61107
1,0.281434,0.283500,33766
2,0.268322,0.232397,19947
3,0.285580,0.232516,16426
4,0.248372,0.246998,14160
5,0.244689,0.268510,14099
6,0.271706,0.247380,14093
7,0.255989,0.229146,12503
8,0.159940,0.170631,10811
9,0.277865,0.245199,10087
10,0.270041,0.166438,8852
11,0.261539,0.117679,8065
12,0.303150,0.302059,6083
13,0.291040,0.295634,4533
14,0.193178,0.215518,4871
15,0.301920,0.246584,4906
16,0.256738,0.249241,4590
17,0.287973,0.282954,4068
18,0.172316,0.118778,4699
19,0.265813,0.243685,3582
20,0.225158,0.128873,3325
21,0.252414,0.224487,3245
22,0.258901,0.247079,2643
23,0.299804,0.285753,2441
24,0.268622,0.266602,2475
25,0.250697,0.224236,2174
26,0.133128,0.154377,1933
27,0.185450,0.254499,1526
28,0.145659,0.244779,1728
29,0.307630,0.309451,1318
30,0.256192,0.165366,1477
31,0.272571,0.233994,1348
32,0.181640,0.191138,1161
33,0.201877,0.081582,1423
34,0.140027,0.222283,1036
35,0.221673,0.200516,1145
36,0.212566,0.128477,438
37,0.228951,0.165598,803
38,0.246571,0.209929,787
39,0.260034,0.235327,851
40,0.219384,0.155950,801
41,0.122398,0.218000,835
42,0.179760,0.231892,733
43,0.083177,0.105637,824
44,0.243709,0.244528,701
45,0.306434,0.151183,676
46,0.166661,0.240726,644
47,0.066598,0.130590,737
48,0.155330,0.192385,624
49,0.276681,0.270802,585
50,0.311445,0.230592,477
51,0.213384,0.221569,484
52,0.276421,0.287707,668
53,0.193776,0.270026,513
54,0.187886,0.162792,482
55,0.217308,0.195963,492
56,0.319018,0.285267,502
57,0.254819,0.227777,470
58,0.260817,0.123913,477
59,0.245820,0.314654,464
60,0.249939,0.290159,446
61,0.154369,0.068018,455
62,0.183607,0.052218,517
63,0.162327,0.204799,406
64,0.115230,0.122327,331
65,0.207227,0.266237,408
66,0.186720,0.234829,390
67,0.288385,0.278768,399
68,0.255583,0.273918,242
69,0.180102,0.232313,326
70,0.183600,0.170346,324
71,0.285470,0.289135,298
72,0.185182,0.285639,249
73,0.201628,0.132203,224
74,0.158026,0.269570,371
75,0.136477,0.227098,315
76,0.259236,0.324574,280
77,0.208582,0.279291,324
78,0.264150,0.255342,326
79,0.261770,0.265150,293
80,0.210934,0.256556,251
81,0.205384,0.271588,287
82,0.235348,0.266769,279
83,0.275289,0.273828,283
84,0.304634,0.249007,243
85,0.247432,0.168326,253
86,0.345771,0.268646,218
87,0.299501,0.275271,275
88,0.232502,0.277377,209
89,0.327928,0.310021,219
90,0.142448,0.129617,197
91,0.308746,0.288854,137
92,0.311949,0.321432,193
93,0.210366,0.244097,220
94,0.158781,0.193939,208
95,0.213079,0.205801,177
96,0.273667,0.118484,175
97,0.161765,0.292977,158
98,0.234661,0.137562,181
99,0.363100,0.364019,183
100,0.209827,0.125357,147
101,0.155504,0.186039,156
102,0.188947,0.266385,181
103,0.147785,0.262313,153
104,0.320748,0.336117,139
105,0.335127,0.249524,151
106,0.259201,0.100184,133
107,0.260478,0.205539,157
108,0.245581,0.309894,119
109,0.280324,0.209520,146
110,0.257125,0.317144,114
111,0.300767,0.225161,130
112,0.293448,0.198045,126
113,0.248510,0.281330,105
114,0.354380,0.239006,128
115,0.250575,0.233783,107
116,0.490257,0.338155,66
117,0.300079,0.251948,105
118,0.298681,0.258526,107
119,0.201267,0.174912,100
120,0.233503,0.257385,90
121,0.220353,0.280727,95
122,0.203435,0.327857,43
123,0.341444,0.316765,51
124,0.202250,0.162028,72
125,0.325594,0.257812,95
126,0.175210,0.404827,76
127,0.172000,0.263906,80
128,0.284003,0.222805,57
129,0.151967,0.254936,78
130,0.262771,0.204718,65
131,0.438319,0.322041,77
132,0.205967,0.247642,72
133,0.245404,0.312655,65
134,0.253592,0.260368,63
135,0.157394,0.349484,83
136,0.153543,0.167895,46
137,0.206390,0.273190,59
138,0.254616,0.277609,40
139,0.262072,0.248700,44
140,0.250827,0.280366,46
141,0.225356,0.193084,62
142,0.111737,0.209488,41
143,0.168114,0.362207,53
144,0.291496,0.389842,57
145,0.192111,0.166483,49
146,0.385031,0.214540,45
147,0.318294,0.314010,50
148,0.300154,0.288350,61
149,0.172483,0.312924,64
150,0.216665,0.231777,41
151,0.361173,0.253388,35
152,0.215824,0.298447,35
153,0.417288,0.281427,42
154,0.184905,0.317962,36
155,0.214798,0.351680,36
156,0.281418,0.258600,49
157,0.218988,0.232632,32
158,0.359490,0.310177,28
159,0.352723,0.204962,39
160,0.352075,0.337135,40
161,0.136116,0.298111,41
162,0.348792,0.154503,32
163,0.320187,0.245425,37
164,0.205843,0.274239,29
165,0.178426,0.304523,43
166,0.314785,0.405064,35
167,0.240677,0.237464,26
168,0.285950,0.274668,26
169,0.218013,0.277298,38
170,0.150985,0.372643,34
171,0.312640,0.180348,32
172,0.299763,0.234081,21
173,0.302528,0.255794,19
174,0.300491,0.403171,19
175,0.909147,0.517476,11
176,0.473287,0.284692,21
177,0.231106,0.317143,23
178,0.214296,0.233996,21
179,0.341803,0.251684,19
180,0.449981,0.200879,37
181,0.411887,0.282312,9
182,0.274102,0.184443,16
183,0.256962,0.304394,27
184,0.276185,0.322160,17
185,0.307267,0.306556,20
186,0.194726,0.207069,14
187,0.193737,0.177264,13
188,0.384896,0.350235,11
189,0.440748,0.282335,15
190,0.156010,0.193341,12
191,0.284509,0.253382,17
192,0.232047,0.193361,20
193,0.172945,0.263627,18
194,0.257135,0.211358,13
195,0.354608,0.468365,6
196,0.266361,0.291190,14
197,0.319660,0.458018,11
198,0.376965,0.216797,6
199,0.186428,0.292146,14
200,0.261182,0.273576,8
201,0.418105,0.258153,10
202,0.244445,0.292588,9
203,0.223618,0.326394,6
204,0.276881,0.401607,8
205,0.502709,0.172686,7
206,0.243745,0.327552,8
207,0.407797,0.311051,6
208,0.280617,0.278782,7
209,0.568288,0.383212,7
210,0.297258,0.338889,12
211,0.541968,0.539839,4
212,0.430789,0.303974,7
213,0.543087,0.194326,11
214,0.488657,0.273962,7
215,0.400859,0.381158,3
