relation_id,curvature,curvature_inverse,n_train_triples
220,0.425831,0.443525,21
221,0.382232,0.593550,15
222,0.627704,0.715526,12
223,0.727607,0.908325,21
224,0.617060,0.767719,12
225,1.087446,0.916519,3
226,0.517470,0.598172,10
227,0.618536,0.490166,14
228,0.967867,1.192194,1
229,0.703510,0.664428,4
230,0.753004,0.727320,2
231,0.652783,0.772638,3
232,0.986299,0.829937,3
233,0.784192,0.808344,2
234,1.130568,0.851192,2
235,0.430238,0.334687,22
236,0.689669,0.754899,6
237,0.882979,0.849573,1
