relation_id,curvature,curvature_inverse,n_train_triples
222,0.397973,0.402251,133
223,0.542275,0.523028,101
224,0.128000,0.326431,251
225,0.274359,0.324552,117
226,0.415392,0.536987,137
227,0.337595,0.294065,114
228,0.669551,0.666685,99
229,0.178771,0.182485,162
230,0.593110,0.619084,180
231,0.375323,0.421808,108
232,0.256363,0.319651,112
233,0.545296,0.391505,102
234,0.386475,0.420366,149
235,0.574470,0.512890,100
236,0.423892,0.358324,106
