relation_id,curvature,curvature_inverse,n_train_triples
0,0.409956,0.738827,61
1,0.326556,0.289700,2142
2,0.426517,0.333983,202
3,0.479809,0.384749,49
4,0.396365,0.468510,88
5,0.532131,0.697129,135
6,0.342328,0.378028,558
7,0.474742,0.983844,80
8,0.853238,0.812905,203
9,0.353081,0.380691,664
10,0.537460,0.469514,157
11,0.594102,0.582345,107
12,0.681426,0.663610,83
13,0.471147,0.317961,290
14,0.327649,0.353500,2917
15,0.339534,0.328239,527
16,0.421635,0.731143,680
17,0.344067,0.346541,5940
18,0.373161,0.772540,78
19,0.743605,0.718691,60
20,0.375255,0.340278,3861
21,0.407302,0.378786,218
22,0.432786,0.416514,11995
23,0.534552,0.616419,129
