relation_id,curvature,curvature_inverse,n_train_triples
0,0.439966,0.538567,61
1,0.332348,0.307523,2142
2,0.490802,0.315225,202
3,0.408755,0.361810,49
4,0.309393,0.450426,88
5,0.570194,0.698709,135
6,0.346639,0.410810,558
7,0.533927,1.060342,80
8,0.800630,0.678565,203
9,0.370381,0.419359,664
10,0.572613,0.539122,157
11,0.505593,0.531007,107
12,0.618859,0.552570,83
13,0.458608,0.318255,290
14,0.327208,0.332176,2917
15,0.438272,0.313835,527
16,0.379769,0.594322,680
17,0.352127,0.337174,5940
18,0.374106,0.819337,78
19,0.661748,0.634292,60
20,0.388124,0.339127,3861
21,0.449981,0.385630,218
22,0.433128,0.411769,11995
23,0.424469,0.627221,129
