relation_id,curvature,curvature_inverse,n_train_triples
0,0.354684,0.329859,102983
1,0.353373,0.341177,27727
2,0.264306,0.313772,134342
3,0.315306,0.273638,127783
4,0.328820,0.344542,15140
5,0.390832,0.360841,12810
6,0.306661,0.305627,63279
7,0.321993,0.312657,96204
8,0.322453,0.242717,246
9,0.250429,0.298847,26780
10,0.328940,0.366071,9478
11,0.353170,0.356561,28008
12,0.364249,0.363549,14798
13,0.311357,0.380605,5147
14,0.385070,0.389612,548
15,0.368659,0.342438,39769
16,0.308002,0.311918,142637
17,0.405232,0.347748,26745
18,0.245235,0.326867,44095
19,0.276617,0.276341,106706
20,0.371622,0.377496,19906
21,0.310626,0.299997,2424
22,0.332571,0.300901,23239
23,0.314140,0.308258,71876
24,0.347391,0.317699,36607
25,0.267653,0.283538,3940
26,0.279332,0.310047,2229
27,0.323179,0.334792,24462
28,0.336493,0.297427,13236
29,0.315175,0.318666,6526
30,0.263707,0.262763,58316
31,0.396289,0.345179,19375
32,0.310617,0.292803,6080
33,0.323910,0.297047,5377
34,0.264708,0.270415,72290
35,0.385998,0.329978,3789
36,0.358095,0.338351,28828
37,0.371329,0.330900,31819
38,0.375604,0.355689,17610
39,0.328021,0.301036,621
40,0.283892,0.302776,1509
41,0.338456,0.292244,5056
42,0.277574,0.322060,883
43,0.347192,0.330570,10843
44,0.339946,0.335644,7026
45,0.335812,0.348163,6678
46,0.384178,0.388071,8840
47,0.291059,0.283946,2645
48,0.301851,0.279553,3801
49,0.290880,0.309440,583
50,0.191309,0.263677,577
51,0.294402,0.299868,1867
52,0.264875,0.263231,7915
53,0.297555,0.324001,2061
54,0.337205,0.334740,3155
55,0.326322,0.262032,2459
56,0.292137,0.302298,816
57,0.262476,0.271480,527
58,0.296923,0.228579,16951
59,0.342065,0.333785,16274
60,0.218330,0.220454,1618
61,0.228410,0.317092,518
62,0.379447,0.444046,2752
63,0.280504,0.289179,20709
64,0.352142,0.373135,533
65,0.357065,0.337610,10643
66,0.318071,0.369390,2474
67,0.351184,0.372659,9839
68,0.341433,0.340212,3046
69,0.301148,0.459374,465
70,0.334788,0.307728,1173
71,0.285461,0.370995,3448
72,0.371076,0.294274,5059
73,0.343806,0.300592,1820
74,0.294326,0.256200,1611
75,0.350320,0.316312,4502
76,0.315986,0.373880,2529
77,0.308904,0.266937,553
78,0.292090,0.296420,2574
79,0.358783,0.334880,1745
80,0.346039,0.305419,2372
81,0.348085,0.290971,2851
82,0.354180,0.329445,1196
83,0.305728,0.334764,2237
84,0.359602,0.354805,351
85,0.368558,0.359507,358
86,0.322413,0.300828,122
87,0.266127,0.345769,769
88,0.295893,0.301253,2435
89,0.272843,0.324514,2886
