relation_id,curvature,curvature_inverse,n_train_triples
0,0.238416,0.268737,34796
1,0.258874,0.270370,29715
2,0.202119,0.205254,2921
3,0.272004,0.249024,1299
4,0.336898,0.334623,7402
5,0.179552,0.245843,3116
6,0.305403,0.332925,4816
7,0.203992,0.164959,629
8,0.217162,0.233617,923
9,0.468147,0.477656,1138
10,0.380437,0.380903,80
