relation_id,curvature,curvature_inverse,n_train_triples
195,0.352204,0.386410,6
196,0.256587,0.245556,14
197,0.220006,0.297958,11
198,0.336694,0.330234,6
199,0.079089,0.274143,14
200,0.178250,0.279417,8
201,0.365201,0.226783,10
202,0.297356,0.348076,9
203,0.185695,0.300151,6
204,0.160501,0.246070,8
205,0.312031,0.168995,7
206,0.306751,0.270346,8
207,0.494506,0.228126,6
208,0.280862,0.227805,7
209,0.488962,0.292806,7
210,0.300297,0.359836,12
211,0.479694,0.414788,4
212,0.315731,0.273837,7
213,0.432776,0.194141,11
214,0.464882,0.265244,7
215,0.392350,0.361471,3
216,0.301576,0.256925,8
217,0.479301,0.284639,8
218,0.228138,0.445501,8
219,0.240378,0.239357,8
220,0.450293,0.371912,7
221,0.217788,0.188742,2
222,0.617056,0.597675,1
223,0.377479,0.228554,2
224,0.301368,0.294106,3
225,0.325408,0.398976,6
226,1.000000,1.000000,0
227,0.583820,0.602374,1
228,0.250137,0.398572,4
229,1.000000,1.000000,0
230,0.508511,0.687282,1
231,0.521989,0.247537,2
232,0.322772,0.254876,2
233,0.293524,0.507752,1
234,0.490914,0.535039,2
235,0.595335,0.485502,2
236,0.368864,0.562110,3
237,0.368150,0.719074,2
238,0.452030,0.267531,3
239,1.000000,1.000000,0
240,0.630574,0.336731,3
241,0.467914,0.695239,2
242,1.000000,1.000000,0
243,1.000000,1.000000,0
244,1.000000,1.000000,0
245,1.000000,1.000000,0
246,0.497037,0.795494,2
247,1.000000,1.000000,0
248,0.321136,0.211658,2
249,0.585967,0.646097,1
250,1.000000,1.000000,0
251,0.381105,0.544848,1
252,1.000000,1.000000,0
253,0.449551,0.505797,1
254,0.507577,0.576021,1
255,1.000000,1.000000,0
256,0.395550,0.527466,1
257,0.521210,0.600814,1
258,0.696773,1.288359,1
259,1.000000,1.000000,0
